name,slug,excerpt,overview,country,continent,state,city,full_location,zipcode,full_address,institution_type,campus_setting,contact_email,contact_phone,website,founded_year,campus_size,is_popular,is_featured,seo_title,seo_description,degree_levels,majors,study_formats
Stanford College of Engineering,stanford-engineering,Engineering college of Stanford University.,Stanford College of Engineering offers undergraduate and graduate engineering programs on Stanford's campus.,US,North America,CA,Stanford,"Stanford, US",94305,450 Jane Stanford Way,Public,Suburban,admissions-eng@stanford.edu,+1-650-723-2300,https://engineering.stanford.edu,1925,150 acres,true,true,Stanford Engineering - Top Engineering College,"Stanford College of Engineering is a public suburban college in Stanford, US.",Bachelor's|Master's|Doctorate,Computer Science|Engineering,100% In-Person
MIT Sloan School of Management,mit-sloan,Management school at MIT.,MIT Sloan offers undergraduate and graduate management programs on the MIT campus.,US,North America,MA,Cambridge,"Cambridge, US",02142,100 Main Street,Private,Urban,sloan-admissions@mit.edu,+1-617-253-2659,https://mitsloan.mit.edu,1914,40 acres,false,true,MIT Sloan - Top Management School,"MIT Sloan is a private urban college in Cambridge, US.",Master's|Doctorate,Business|Economics,100% In-Person|Hybrid / Blended
Trinity College Dublin,tcd,Sole constituent college of the University of Dublin.,"Trinity College Dublin is the sole constituent college of the University of Dublin, founded in 1592.",IE,Europe,,Dublin,"Dublin, IE",D02 PN40,College Green,Public,Urban,admissions@tcd.ie,+353-1-896-1000,https://www.tcd.ie,1592,51 acres,true,false,Trinity College Dublin,"Trinity College Dublin is a public urban college in Dublin, IE.",Bachelor's|Master's,Computer Science|Economics|Art & Design,100% In-Person
King's College London,kcl,One of the founding colleges of the University of London.,King's College London offers a broad range of undergraduate and graduate programs in central London.,UK,Europe,,London,"London, UK",WC2R 2LS,Strand,Public,Urban,admissions@kcl.ac.uk,+44-20-7836-5454,https://www.kcl.ac.uk,1829,16 acres,true,true,King's College London,"King's College London is a public urban college in London, UK.",Bachelor's|Master's|Doctorate,Medicine|Law|Economics,100% In-Person
St Hugh's College Oxford,st-hughs-oxford,Constituent college of the University of Oxford.,"St Hugh's College is one of the constituent colleges of the University of Oxford, founded in 1886.",UK,Europe,,Oxford,"Oxford, UK",OX2 6LE,St Margaret's Road,Public,Suburban,admissions@st-hughs.ox.ac.uk,+44-1865-274-900,https://www.st-hughs.ox.ac.uk,1886,12 acres,false,false,St Hugh's College Oxford,"St Hugh's College is a public suburban college in Oxford, UK.",Bachelor's|Master's|Doctorate,Economics|Art & Design|Economics,100% In-Person
Royal Holloway Bedford College,royal-holloway,Constituent college of the University of London.,"Royal Holloway, Bedford College is a constituent college of the University of London, located in Egham.",UK,Europe,,Egham,"Egham, UK",TW20 0EX,Egham Hill,Public,Suburban,admissions@royalholloway.ac.uk,+44-1784-434-455,https://www.royalholloway.ac.uk,1879,135 acres,false,false,Royal Holloway Bedford College,"Royal Holloway Bedford College is a public suburban college in Egham, UK.",Bachelor's|Master's,Business|Economics,100% In-Person
University College Dublin Smurfit,ucd-smurfit,Graduate business school of University College Dublin.,UCD Smurfit School is the graduate business school of University College Dublin.,IE,Europe,,Dublin,"Dublin, IE",D04 V1W8,Carysfort Avenue,Public,Suburban,smurfit.admissions@ucd.ie,+353-1-716-8900,https://www.smurfitschool.ie,1908,42 acres,true,true,UCD Smurfit Graduate Business School,"UCD Smurfit is a public suburban college in Dublin, IE.",Master's,Business|Economics,100% In-Person|Hybrid / Blended
Woodrow Wilson School Princeton,wws-princeton,Public and international affairs school at Princeton.,The Woodrow Wilson School offers public policy and international affairs programs at Princeton.,US,North America,NJ,Princeton,"Princeton, US",08544,218 Robertson Hall,Private,Suburban,wwsadmit@princeton.edu,+1-609-258-4800,https://wws.princeton.edu,1930,500 acres,false,false,Woodrow Wilson School,"The Woodrow Wilson School is a private suburban college at Princeton, US.",Master's|Doctorate,Economics|Economics,100% In-Person
Wharton School of Business,wharton,Business school of the University of Pennsylvania.,The Wharton School offers undergraduate and graduate business programs at UPenn.,US,North America,PA,Philadelphia,"Philadelphia, US",19104,3733 Spruce Street,Private,Urban,wharton-admissions@upenn.edu,+1-215-898-6181,https://www.wharton.upenn.edu,1881,269 acres,true,true,Wharton School,"Wharton is a private urban college in Philadelphia, US.",Bachelor's|Master's,Business|Economics,100% In-Person
Harvard Law School,hls,Law school of Harvard University.,"Harvard Law School offers the JD, LLM, and SJD programs at Harvard University.",US,North America,MA,Cambridge,"Cambridge, US",02138,1563 Massachusetts Avenue,Private,Urban,admissions@law.harvard.edu,+1-617-495-3100,https://hls.harvard.edu,1817,209 acres,false,true,Harvard Law School,"Harvard Law School is a private urban college in Cambridge, US.",Master's|Doctorate,Law,100% In-Person
Yale School of Art,yale-art,Art school of Yale University.,"Yale School of Art offers MFA programs in painting, sculpture, and graphic design.",US,North America,CT,New Haven,"New Haven, US",06511,1156 Chapel Street,Private,Urban,art.admissions@yale.edu,+1-203-432-2600,https://www.art.yale.edu,1869,200 acres,false,false,Yale School of Art,"Yale School of Art is a private urban college in New Haven, US.",Master's,Art & Design,100% In-Person
Columbia Business School,cbs,Business school of Columbia University.,Columbia Business School offers the MBA and EMBA programs in New York.,US,North America,NY,New York,"New York, US",10027,3022 Broadway,Private,Urban,cbsadmissions@gsb.columbia.edu,+1-212-854-1961,https://www8.gsb.columbia.edu,1916,36 acres,true,true,Columbia Business School,"Columbia Business School is a private urban college in New York, US.",Master's,Business|Economics,100% In-Person|Hybrid / Blended
University of Chicago Booth,uchicago-booth,Business school of the University of Chicago.,"Chicago Booth offers MBA, EMBA, and Doctorate programs in business.",US,North America,IL,Chicago,"Chicago, US",60637,5807 South Woodlawn Avenue,Private,Urban,admissions@chicagobooth.edu,+1-773-702-7369,https://www.chicagobooth.edu,1898,217 acres,true,true,University of Chicago Booth,"Chicago Booth is a private urban college in Chicago, US.",Master's|Doctorate,Business|Economics,100% In-Person
Kellogg School of Management,kellogg,Business school of Northwestern University.,Kellogg School offers MBA and graduate management programs.,US,North America,IL,Evanston,"Evanston, US",60208,2211 Campus Drive,Private,Suburban,kellogg-admissions@kellogg.northwestern.edu,+1-847-491-3300,https://www.kellogg.northwestern.edu,1908,240 acres,true,true,Kellogg School of Management,"Kellogg School is a private suburban college in Evanston, US.",Master's,Business|Economics,100% In-Person|Hybrid / Blended
Sciences Po Paris,sciences-po,Social sciences university in Paris.,Sciences Po offers undergraduate and graduate programs in social sciences.,FR,Europe,,Paris,"Paris, FR",75007,27 rue Saint-Guillaume,Public,Urban,admissions@sciencespo.fr,+33-1-45-49-50-50,https://www.sciencespo.fr,1872,22 acres,true,false,Sciences Po Paris,"Sciences Po is a public urban college in Paris, FR.",Bachelor's|Master's|Doctorate,Economics|Economics|Law,100% In-Person
Sorbonne University Faculty,sorbonne,Faculty of sciences at Sorbonne University.,Sorbonne University Faculty offers graduate programs in sciences.,FR,Europe,,Paris,"Paris, FR",75005,21 rue de l'École de Médecine,Public,Urban,admissions@sorbonne-universite.fr,+33-1-44-27-44-27,https://www.sorbonne-universite.fr,1257,52 acres,false,false,Sorbonne University Faculty,"Sorbonne University Faculty is a public urban college in Paris, FR.",Master's|Doctorate,Engineering|Medicine|Biology,100% In-Person
ETH Zurich Department of Physics,eth-physics,Physics department of ETH Zurich.,"ETH Department of Physics offers BSc, MSc, and Doctorate programs in physics.",CH,Europe,,Zurich,"Zurich, CH",8093,Ramistrasse 101,Public,Urban,admissions@phys.ethz.ch,+41-44-632-1111,https://ethz.ch/en/the-eth-zurich/organisation/who-is-who/departments/physics.html,1855,178 acres,true,true,ETH Zurich Physics Department,"ETH Zurich Department of Physics is a public urban college in Zurich, CH.",Bachelor's|Master's|Doctorate,Engineering,100% In-Person
University of Tokyo Komaba,u-tokyo-komaba,Undergraduate college of the University of Tokyo.,Komaba Campus offers undergraduate liberal arts programs at the University of Tokyo.,JP,Asia,,Tokyo,"Tokyo, JP",153-8902,3-8-1 Komaba Meguro-ku,Public,Urban,komaba-jimu@adm.u-tokyo.ac.jp,+81-3-5454-6014,https://www.u-tokyo.ac.jp/en/about/campuses/komaba.html,1877,40 acres,false,false,University of Tokyo Komaba Campus,"Komaba Campus is a public urban college in Tokyo, JP.",Bachelor's,Economics|Art & Design|Economics,100% In-Person
Waseda University SILS,sils,School of International Liberal Studies at Waseda.,SILS offers interdisciplinary liberal arts programs taught in English.,JP,Asia,,Tokyo,"Tokyo, JP",169-8050,1-6-1 Nishi-Waseda Shinjuku-ku,Private,Urban,sils@list.waseda.jp,+81-3-3208-8860,https://www.waseda.jp/sils/en/,2004,32 acres,false,true,Waseda SILS,"SILS is a private urban college in Tokyo, JP.",Bachelor's,Art & Design|Economics|Economics,100% In-Person
Keio University Faculty of Economics,keio-econ,Economics faculty of Keio University.,Keio Faculty of Economics offers undergraduate and graduate economics programs.,JP,Asia,,Tokyo,"Tokyo, JP",108-8345,2-15-45 Mita Minato-ku,Private,Urban,admissions@econ.keio.ac.jp,+81-3-5427-1517,https://www.keio.ac.jp/en/academics/faculty/economics/,1890,33 acres,false,false,Keio Faculty of Economics,"Keio Faculty of Economics is a private urban college in Tokyo, JP.",Bachelor's|Master's|Doctorate,Economics|Business,100% In-Person
Seoul National University College of Engineering,snu-eng,Engineering college of Seoul National University.,SNU College of Engineering offers undergraduate and graduate engineering programs.,KR,Asia,,Seoul,"Seoul, KR",08826,1 Gwanak-ro Gwanak-gu,Public,Urban,gradeng@snu.ac.kr,+82-2-880-7000,https://eng.snu.ac.kr,1946,295 acres,false,false,Seoul National University College of Engineering,"SNU College of Engineering is a public urban college in Seoul, KR.",Bachelor's|Master's|Doctorate,Engineering|Computer Science,100% In-Person
Tsinghua University School of Economics,tsinghua-sem,School of Economics and Management at Tsinghua.,"Tsinghua SEM offers MBA, EMBA, and graduate business programs.",CN,Asia,,Beijing,"Beijing, CN",100084,30 Shuangqing Road Haidian District,Public,Urban,admission@sem.tsinghua.edu.cn,+86-10-6279-5813,https://www.sem.tsinghua.edu.cn,1984,442 acres,true,true,Tsinghua School of Economics and Management,"Tsinghua SEM is a public urban college in Beijing, CN.",Master's|Doctorate,Business|Economics,100% In-Person
